Region,Date,Cases,Dead,New_Cases
Andalucía,2020-03-02,12,0,0
Andalucía,2020-03-03,13,0,1
Andalucía,2020-03-04,13,0,0
Andalucía,2020-03-05,12,0,-1
Andalucía,2020-03-06,21,0,9
Andalucía,2020-03-07,32,0,17
Andalucía,2020-03-08,43,0,25
Andalucía,2020-03-09,54,0,33
Andalucía,2020-03-10,71,0,17
Andalucía,2020-03-11,90,0,19
Andalucía,2020-03-12,115,0,25
Andalucía,2020-03-13,219,0,104
Andalucía,2020-03-14,269,2,50
Andalucía,2020-03-15,437,6,168
Andalucía,2020-03-16,554,7,117
Andalucía,2020-03-17,683,11,129
Andalucía,2020-03-18,859,19,176
Andalucía,2020-03-19,1008,23,149
Andalucía,2020-03-20,1287,30,279
Andalucía,2020-03-21,1515,40,228
Andalucía,2020-03-22,1725,47,210
Andalucía,2020-03-23,1961,58,236
Andalucía,2020-03-24,2471,87,510
Andalucía,2020-03-25,3010,113,539
Andalucía,2020-03-26,3406,134,396
Andalucía,2020-03-27,3793,144,387
Andalucía,2020-03-28,4277,175,484
Andalucía,2020-03-29,4682,207,405
Andalucía,2020-03-30,5405,236,723
Andalucía,2020-03-31,5818,248,413
Andalucía,2020-04-01,6392,308,574
Andalucía,2020-04-02,6972,343,580
Andalucía,2020-04-03,7374,376,402
Andalucía,2020-04-04,7869,426,495
Andalucía,2020-04-05,8301,470,432
Andalucía,2020-04-06,8581,491,280
Andalucía,2020-04-07,8767,528,186
Andalucía,2020-04-08,8997,605,230
Andalucía,2020-04-09,9261,652,264
Andalucía,2020-04-10,9510,691,249
Andalucía,2020-04-11,9712,737,202
Andalucía,2020-04-12,10006,799,294
Andalucía,2020-04-13,10187,815,181
Andalucía,2020-04-14,10192,836,5
Andalucía,2020-04-15,10595,865,403
Andalucía,2020-04-16,10807,912,212
Andalucía,2020-04-17,11053,940,246
Andalucía,2020-04-18,11020,967,-33
Andalucía,2020-04-19,11205,993,185
Andalucía,2020-04-20,11323,1013,118
Andalucía,2020-04-21,11447,1017,124
Andalucía,2020-04-22,11610,1050,163
Andalucía,2020-04-23,11845,1079,235
Andalucía,2020-04-24,11536,1107,-309
Andalucía,2020-04-25,11703,1131,167
Andalucía,2020-04-26,11774,1145,71
Andalucía,2020-04-27,11852,1,78
Andalucía,2020-04-28,11913,1168,61
Andalucía,2020-04-29,12004,1188,91
Aragón,2020-03-02,0,0,0
Aragón,2020-03-03,0,0,0
Aragón,2020-03-04,0,0,0
Aragón,2020-03-05,1,0,1
Aragón,2020-03-06,6,1,5
Aragón,2020-03-07,8,0,5
Aragón,2020-03-08,11,0,6
Aragón,2020-03-09,13,1,7
Aragón,2020-03-10,38,3,25
Aragón,2020-03-11,45,4,7
Aragón,2020-03-12,64,6,19
Aragón,2020-03-13,80,7,16
Aragón,2020-03-14,80,7,0
Aragón,2020-03-15,147,7,67
Aragón,2020-03-16,174,11,27
Aragón,2020-03-17,207,12,33
Aragón,2020-03-18,226,13,19
Aragón,2020-03-19,281,15,55
Aragón,2020-03-20,360,17,79
Aragón,2020-03-21,424,22,64
Aragón,2020-03-22,532,24,108
Aragón,2020-03-23,638,32,106
Aragón,2020-03-24,758,37,120
Aragón,2020-03-25,907,40,149
Aragón,2020-03-26,1116,48,209
Aragón,2020-03-27,1338,58,222
Aragón,2020-03-28,1592,58,254
Aragón,2020-03-29,1858,93,266
Aragón,2020-03-30,2078,106,220
Aragón,2020-03-31,2272,138,194
Aragón,2020-04-01,2491,169,219
Aragón,2020-04-02,2700,200,209
Aragón,2020-04-03,2889,224,189
Aragón,2020-04-04,3078,251,189
Aragón,2020-04-05,3232,270,154
Aragón,2020-04-06,3347,284,115
Aragón,2020-04-07,3449,312,102
Aragón,2020-04-08,3549,349,100
Aragón,2020-04-09,3685,385,136
Aragón,2020-04-10,3831,409,146
Aragón,2020-04-11,3969,425,138
Aragón,2020-04-12,4070,450,101
Aragón,2020-04-13,4187,464,117
Aragón,2020-04-14,4245,492,58
Aragón,2020-04-15,4338,514,93
Aragón,2020-04-16,4566,543,228
Aragón,2020-04-17,4664,562,98
Aragón,2020-04-18,4761,601,97
Aragón,2020-04-19,4831,619,70
Aragón,2020-04-20,4886,637,55
Aragón,2020-04-21,4938,643,52
Aragón,2020-04-22,5054,656,116
Aragón,2020-04-23,5237,681,183
Aragón,2020-04-24,4867,695,-370
Aragón,2020-04-25,4922,709,55
Aragón,2020-04-26,4955,712,33
Aragón,2020-04-27,4985,726,30
Aragón,2020-04-28,5004,735,19
Aragón,2020-04-29,5042,736,38
Asturias,2020-03-02,1,0,0
Asturias,2020-03-03,1,0,0
Asturias,2020-03-04,2,0,1
Asturias,2020-03-05,5,0,3
Asturias,2020-03-06,5,0,0
Asturias,2020-03-07,6,0,0
Asturias,2020-03-08,6,0,1
Asturias,2020-03-09,7,0,2
Asturias,2020-03-10,22,0,15
Asturias,2020-03-11,32,0,10
Asturias,2020-03-12,47,1,15
Asturias,2020-03-13,67,1,20
Asturias,2020-03-14,92,1,25
Asturias,2020-03-15,137,1,45
Asturias,2020-03-16,177,1,40
Asturias,2020-03-17,193,1,16
Asturias,2020-03-18,242,1,49
Asturias,2020-03-19,292,1,50
Asturias,2020-03-20,344,2,52
Asturias,2020-03-21,486,5,142
Asturias,2020-03-22,545,8,59
Asturias,2020-03-23,594,12,49
Asturias,2020-03-24,662,22,68
Asturias,2020-03-25,779,25,117
Asturias,2020-03-26,841,27,62
Asturias,2020-03-27,900,29,59
Asturias,2020-03-28,1004,33,104
Asturias,2020-03-29,1088,41,84
Asturias,2020-03-30,1158,49,70
Asturias,2020-03-31,1236,55,78
Asturias,2020-04-01,1322,63,86
Asturias,2020-04-02,1384,69,62
Asturias,2020-04-03,1433,70,49
Asturias,2020-04-04,1522,76,89
Asturias,2020-04-05,1605,80,83
Asturias,2020-04-06,1646,86,41
Asturias,2020-04-07,1679,96,33
Asturias,2020-04-08,1705,102,26
Asturias,2020-04-09,1737,110,32
Asturias,2020-04-10,1799,121,62
Asturias,2020-04-11,1827,128,28
Asturias,2020-04-12,1892,140,65
Asturias,2020-04-13,1958,149,66
Asturias,2020-04-14,2051,156,93
Asturias,2020-04-15,2096,166,45
Asturias,2020-04-16,2170,168,74
Asturias,2020-04-17,2230,174,60
Asturias,2020-04-18,2272,187,42
Asturias,2020-04-19,2298,196,26
Asturias,2020-04-20,2348,200,50
Asturias,2020-04-21,2365,202,17
Asturias,2020-04-22,2419,211,54
Asturias,2020-04-23,2453,223,34
Asturias,2020-04-24,2234,231,-219
Asturias,2020-04-25,2238,239,4
Asturias,2020-04-26,2249,249,11
Asturias,2020-04-27,2254,253,5
Asturias,2020-04-28,2255,261,1
Asturias,2020-04-29,2266,266,11
Baleares,2020-03-02,2,0,0
Baleares,2020-03-03,2,0,0
Baleares,2020-03-04,5,0,3
Baleares,2020-03-05,6,0,1
Baleares,2020-03-06,6,0,0
Baleares,2020-03-07,8,0,1
Baleares,2020-03-08,9,0,3
Baleares,2020-03-09,11,0,5
Baleares,2020-03-10,13,0,2
Baleares,2020-03-11,16,0,3
Baleares,2020-03-12,22,1,6
Baleares,2020-03-13,30,1,8
Baleares,2020-03-14,28,1,-2
Baleares,2020-03-15,28,1,0
Baleares,2020-03-16,73,1,45
Baleares,2020-03-17,92,1,19
Baleares,2020-03-18,112,1,20
Baleares,2020-03-19,169,2,57
Baleares,2020-03-20,203,2,34
Baleares,2020-03-21,246,4,43
Baleares,2020-03-22,331,4,85
Baleares,2020-03-23,400,10,69
Baleares,2020-03-24,478,10,78
Baleares,2020-03-25,562,13,84
Baleares,2020-03-26,660,17,98
Baleares,2020-03-27,755,22,95
Baleares,2020-03-28,862,26,107
Baleares,2020-03-29,958,29,96
Baleares,2020-03-30,1000,37,42
Baleares,2020-03-31,1069,42,69
Baleares,2020-04-01,1131,46,62
Baleares,2020-04-02,1204,58,73
Baleares,2020-04-03,1257,69,53
Baleares,2020-04-04,1271,71,14
Baleares,2020-04-05,1293,75,22
Baleares,2020-04-06,1320,81,27
Baleares,2020-04-07,1369,84,49
Baleares,2020-04-08,1412,89,43
Baleares,2020-04-09,1448,89,36
Baleares,2020-04-10,1488,97,40
Baleares,2020-04-11,1507,102,19
Baleares,2020-04-12,1534,112,27
Baleares,2020-04-13,1550,117,16
Baleares,2020-04-14,1571,118,21
